rule_id,tech,title,severity,category,rationale,detection,recommendation,kpi,estimate_savings_hint,confidence,fingerprint_keys,tags
ECO-DOCKER-001,docker,Use multi-stage builds to slim images,high,quick_win,"Single-stage images bake dev tooling and artifacts into runtime images, increasing pull time and compute.",Dockerfile lacks multiple FROM stages; build tools present in final image.,Refactor to multi-stage; copy only runtime artifacts to final stage.,image_size_mb,-40–70% image size,0.8,"file_path,line_range,base_image",Flow
ECO-DOCKER-002,docker,"Switch to smaller base image (e.g., alpine, distroless)",medium,quick_win,"Large base images waste storage, bandwidth, and cold-start time.",Base image in FROM is debian/ubuntu where alpine/distroless equivalent exists.,Use minimal base images when compatible; evaluate glibc/musl needs.,image_size_mb,-20–60% image size,0.7,"file_path,base_image",Flow
ECO-DOCKER-003,docker,.dockerignore is missing or too permissive,medium,quick_win,Unnecessary build context increases build time and cache misses.,No .dockerignore or missing patterns for node_modules/.venv/tests/docs/.git.,Add .dockerignore with common excludes; confirm context reduction.,build_context_mb,-50–95% context,0.9,"repo_root,.dockerignore_hash","Flow,Feedback"
ECO-DOCKER-004,docker,Do not run as root,low,governance,Root containers require stronger isolation and hinder multitenant efficiency.,USER not set or set to root in final stage.,Create non-root user and set USER; fix file ownerships.,non_root_percentage,≥95% workloads non-root,0.8,"file_path,line_range",Governance
ECO-DOCKER-005,docker,Consolidate RUN layers & enable caching,low,quick_win,Excess layers/cache misses enlarge images and slow builds.,Many small RUN steps; apt/apk caches not cleaned; no --no-cache.,Combine commands; use --no-cache; prune package caches.,build_time_sec,-10–30% build time,0.6,"file_path,line_numbers",Flow
ECO-DOCKER-006,docker,Pin package versions for reproducible caching,low,governance,Unpinned deps cause cache busts and inconsistent sizes.,Package managers without pinned versions in Dockerfile.,Pin versions and use lockfiles; periodic controlled bumps.,cache_hit_rate,≥85% hit rate,0.7,"file_path,package_name",Feedback
ECO-DOCKER-007,docker,Minimize layers with COPY --chown and targeted paths,low,quick_win,Copying entire contexts inflates layers and rebuild scope.,COPY . . patterns without .dockerignore; ownership fixes via separate RUN.,Copy only required directories; use --chown directly in COPY.,image_layers,-10–25% layers,0.6,"file_path,line_range",Flow
ECO-DOCKER-008,docker,Remove dev dependencies from runtime image,high,quick_win,Dev deps add size and attack surface without runtime value.,Node/Python build includes devDependencies/test tooling in final image.,Use multi-stage or pip install --no-dev; npm ci --omit=dev for prod stage.,image_size_mb,-20–50% size,0.8,"file_path,package_manager",Flow
ECO-DOCKER-009,docker,Use HEALTHCHECK wisely,low,governance,Missing healthchecks harm scheduling efficiency and autoscaling responses.,No HEALTHCHECK in long-running services.,Add lightweight HEALTHCHECK with sensible intervals/timeouts.,mean_time_to_recover,-20–40% MTTR,0.5,"file_path,line_range",Feedback
ECO-DOCKER-010,docker,Prefer COPY over ADD (except for archives/URLs),low,governance,ADD has implicit behaviors that enlarge layers unexpectedly.,ADD used for local files where COPY suffices.,Replace ADD with COPY; keep ADD for verified tar/URL needs.,image_layers,-5–10% layers,0.6,"file_path,line_no",Flow
ECO-K8S-001,kubernetes,Set CPU & memory requests/limits appropriately,critical,quick_win,Missing/misaligned requests/limits cause overcommit waste or throttling.,Containers without resources or with requests >> observed usage.,"Set requests to p95 usage, limits ~1.5–2x; monitor and tune.",cpu_request_to_usage_ratio,-20–50% CPU waste,0.85,"kind,name,container","Flow,Feedback"
ECO-K8S-002,kubernetes,Enable Horizontal Pod Autoscaler (HPA),high,deep_work,Static replicas keep idle pods during low traffic.,No HPA present for scalable services.,Add HPA based on CPU/RPS/custom metrics; verify scale-to-zero where safe.,avg_replica_hours,-20–60% replica-hours,0.75,"kind,name,namespace",Flow
ECO-K8S-003,kubernetes,Right-size log verbosity & retention,medium,governance,"Excessive logs increase I/O, storage, and costs.",High log levels in production; long retention with no lifecycle.,Reduce verbosity; add log rotation/retention policies.,log_bytes_per_day,-30–70% logs,0.7,"kind,name,container",Flow
ECO-K8S-004,kubernetes,Use lean base images for sidecars,low,quick_win,Sidecars often run 24/7; heavy images multiply waste.,Sidecars using generic heavy images.,Switch to minimal images; consolidate sidecars where feasible.,image_size_mb,-20–50% sidecar size,0.65,"kind,container,image",Flow
ECO-K8S-005,kubernetes,Evict unused initContainers and probes tuned,low,quick_win,Overly aggressive probes waste CPU/IO; unused initContainers add time.,Very short probe intervals/timeouts; initContainers doing one-off tasks repeatedly.,Tune probes; remove redundant initContainers.,probe_cpu_seconds,-10–25% CPU,0.55,"kind,name,container",Feedback
ECO-K8S-006,kubernetes,Node affinity/taints for efficient bin-packing,medium,deep_work,Poor bin-packing increases active nodes and cluster energy.,No affinity/taints leading to spread across many nodes.,Define affinity/anti-affinity to improve packing with SLOs.,node_hours,-10–30% node-hours,0.6,"namespace,deployment",Flow
ECO-TF-001,terraform,Use gp3 (or latest) over gp2 for EBS,medium,quick_win,Modern volumes provide better perf per watt and lower cost.,AWS EBS volumes on gp2.,Switch to gp3 with tuned throughput/IOPS.,ebs_gb_month,-10–20% cost/energy,0.8,"resource_type,resource_name,region",Flow
ECO-TF-002,terraform,Enable S3 lifecycle & intelligent tiering,medium,quick_win,Cold data kept in standard tier wastes energy/cost.,S3 buckets without lifecycle or tiering.,Add lifecycle rules; enable intelligent tiering where access is unpredictable.,s3_standard_gb,-30–80% std GB,0.75,"bucket_name,region",Flow
